Anho,Ciclo,Idalumno,Cod.Car.Sec,Avandono,CantidadMaterias
2019,1,731,ELE-PLS13 ,0,5
2016,2,733,CIV-PLS13 ,0,4
2016,2,736,MCT-PLS13 ,0,5
2017,2,737,CIV-PLS13 ,0,2
2016,2,738,IND-PLS13 ,0,5
2017,2,738,IND-PLS13 ,0,5
2016,2,739,CIV-PLS13 ,0,6
2016,2,740,CIV-PLS13 ,0,5
2017,2,745,ELE-PLS13 ,0,4
2018,2,745,ELE-PLS13 ,0,4
2021,2,746,ELE-PLS13 ,1,5
2022,1,746,ELE-PLS13 ,0,5
2022,2,746,ELE-PLS13 ,0,5
2017,2,748,CIV-PLS13 ,0,3
2016,2,753,CIV-PLS13 ,1,4
2020,1,753,CIV-PLS13 ,0,4
2021,1,753,CIV-PLS13 ,0,5
2021,2,753,CIV-PLS13 ,1,6
2022,2,753,CIV-PLS13 ,1,5
2021,2,755,CIV-PLS13 ,1,8
2016,2,758,IND-PLS13 ,0,5
2017,2,758,IND-PLS13 ,0,3
2017,2,761,MCT-PLS13 ,0,5
2016,2,766,ELE-PLS13 ,0,5
2017,2,766,ELE-PLS13 ,0,4
2016,2,767,ELE-PLS13 ,1,5
2020,1,767,ELE-PLS13 ,0,4
2021,1,767,ELE-PLS13 ,1,5
2021,2,767,ELE-PLS13 ,0,4
2022,1,767,ELE-PLS13 ,0,7
2016,2,768,MEC-PLS13 ,0,5
2022,2,769,CIV-PLS13 ,1,6
2016,2,770,ELE-PLS13 ,0,4
2017,2,770,ELE-PLS13 ,0,4
2018,1,770,ELE-PLS13 ,0,6
2016,2,771,CIV-PLS13 ,0,4
2017,2,771,CIV-PLS13 ,0,4
2018,1,771,CIV-PLS13 ,0,5
2016,2,774,IND-PLS13 ,0,5
2017,2,774,IND-PLS13 ,0,4
2017,2,778,CIV-PLS13 ,0,4
2018,1,778,CIV-PLS13 ,0,4
2016,2,779,CIV-PLS13 ,0,4
2017,2,781,ELE-PLS13 ,1,5
2018,1,781,ELE-PLS13 ,1,4
2018,2,781,ELE-PLS13 ,0,5
2019,1,781,ELE-PLS13 ,0,4
2016,2,786,CIV-PLS13 ,0,6
2021,2,788,ELE-PLS13 ,0,5
2022,1,788,ELE-PLS13 ,0,5
2022,2,788,ELE-PLS13 ,1,4
2017,2,790,MCT-PLS13 ,0,5
2018,1,790,MCT-PLS13 ,0,6
2018,2,790,MCT-PLS13 ,0,6
2016,2,793,CIV-PLS13 ,0,7
2016,2,794,ECA-PLS13 ,0,8
2018,2,795,ELE-PLS13 ,1,2
2019,1,795,ELE-PLS13 ,0,5
2017,2,797,IND-PLS13 ,0,5
2021,1,803,ELE-PLS13 ,1,5
2022,2,803,ELE-PLS13 ,0,5
2016,2,810,ECA-PLS13 ,0,5
2016,2,815,CIV-PLS13 ,0,5
2017,2,819,MCT-PLS13 ,0,6
2018,1,819,MCT-PLS13 ,0,5
2016,2,820,ELE-PLS13 ,1,5
2017,2,820,ELE-PLS13 ,0,5
2018,1,820,ELE-PLS13 ,0,6
2016,2,821,IND-PLS13 ,0,5
2017,2,828,CIV-PLS13 ,0,6
2018,1,828,CIV-PLS13 ,0,8
2017,2,839,ELE-PLS13 ,0,5
2016,2,841,CIV-PLS13 ,0,4
2017,2,843,CIV-PLS13 ,1,6
2018,1,843,CIV-PLS13 ,0,5
2018,2,843,CIV-PLS13 ,0,5
2018,2,850,ELE-PLS13 ,0,5
2019,1,850,ELE-PLS13 ,0,8
2021,2,851,MEC-PLS13 ,1,5
2016,2,854,CIV-PLS13 ,0,6
2019,2,855,IND-PLS13 ,0,4
2017,2,857,ECA-PLS13 ,0,5
2016,2,859,CIV-PLS13 ,0,6
2016,2,860,IND-PLS13 ,0,5
2016,2,863,ELE-PLS13 ,0,3
2017,2,863,ELE-PLS13 ,1,6
2021,1,863,MEC-PLS13 ,1,5
2021,2,863,MEC-PLS13 ,0,5
2022,1,863,ELE-PLS13 ,0,5
2022,2,863,ELE-PLS13 ,0,5
2016,2,866,ELE-PLS13 ,0,5
2017,2,866,ELE-PLS13 ,0,5
2016,2,868,ELE-PLS13 ,0,5
2017,2,868,ELE-PLS13 ,0,4
2016,2,873,ELE-PLS13 ,0,5
2017,2,873,ELE-PLS13 ,0,5
2016,2,878,CIV-PLS13 ,0,6
2016,2,879,CIV-PLS13 ,0,6
2018,2,881,CGF-PLS13 ,0,7
2017,2,884,MEC-PLS13 ,0,5
2018,2,884,MEC-PLS13 ,0,6
2016,2,887,CIV-PLS13 ,0,5
2017,2,888,CIV-PLS13 ,0,3
2016,2,891,IND-PLS13 ,0,5
2017,2,891,IND-PLS13 ,0,4
2016,2,898,MEC-PLS13 ,0,6
2017,2,898,MEC-PLS13 ,0,7
2021,2,899,MCT-PLS13 ,1,6
2022,2,899,MCT-PLS13 ,1,3
2016,2,901,ELE-PLS13 ,1,6
2017,2,901,MEC-PLS13 ,0,5
2018,1,901,MEC-PLS13 ,0,8
2018,2,901,MEC-PLS13 ,0,5
2017,2,903,ELE-PLS13 ,0,5
2018,1,903,ELE-PLS13 ,1,7
2018,2,903,ELE-PLS13 ,1,5
2019,2,903,ELE-PLS13 ,0,4
2020,1,903,ELE-PLS13 ,0,4
2021,1,903,IND-PLS13 ,0,4
2021,2,903,MEC-PLS13 ,0,7
2022,2,903,MEC-PLS13 ,0,8
2016,2,907,IND-PLS13 ,0,5
2017,2,908,CIV-PLS13 ,0,5
2017,2,911,CIV-PLS13 ,1,3
2019,2,911,CIV-PLS13 ,1,3
2016,2,912,CIV-PLS13 ,0,6
2017,2,912,CIV-PLS13 ,0,6
2017,2,918,CIV-PLS13 ,0,6
2016,2,920,CIV-PLS13 ,0,6
2021,2,922,CIV-PLS13 ,1,6
2022,1,922,CIV-PLS13 ,0,6
2022,2,922,CIV-PLS13 ,0,6
2017,2,923,CIV-PLS13 ,0,4
2016,2,925,MCT-PLS13 ,1,5
2016,2,927,CIV-PLS13 ,0,5
2016,2,934,CIV-PLS13 ,0,6
2016,2,935,CIV-PLS13 ,0,5
2019,1,938,ELE-PLS13 ,0,7
2017,2,943,CIV-PLS13 ,0,3
2018,1,943,CIV-PLS13 ,0,4
2017,2,945,CIV-PLS13 ,0,3
2016,2,946,CIV-PLS13 ,0,6
2016,2,949,CIV-PLS13 ,0,6
2016,2,951,CIV-PLS13 ,0,6
2016,2,952,ELE-PLS13 ,0,6
2016,2,953,IND-PLS13 ,1,3
2017,2,953,IND-PLS13 ,0,3
2016,2,956,ECA-PLS13 ,0,5
2017,2,956,ECA-PLS13 ,0,4
2016,2,958,IND-PLS13 ,0,5
2017,2,958,IND-PLS13 ,0,3
2016,2,968,CIV-PLS13 ,0,8
2017,2,968,CIV-PLS13 ,0,5
2016,2,972,CIV-PLS13 ,1,6
2017,2,972,CIV-PLS13 ,0,4
2018,1,972,CIV-PLS13 ,0,3
2016,2,974,CIV-PLS13 ,0,3
2017,2,977,CIV-PLS13 ,0,5
2018,1,977,CIV-PLS13 ,0,6
2018,2,977,CIV-PLS13 ,0,7
2019,1,977,CIV-PLS13 ,0,8
2016,2,982,ELE-PLS13 ,0,5
2017,2,982,ELE-PLS13 ,0,5
2016,2,989,IND-PLS13 ,0,5
2016,2,991,CIV-PLS13 ,0,4
2017,2,991,CIV-PLS13 ,0,3
2018,1,991,CIV-PLS13 ,1,2
2018,2,991,CIV-PLS13 ,0,2
2021,2,995,ELE-PLS13 ,1,5
2022,1,995,MCT-PLS13 ,0,5
2022,2,995,ELE-PLS13 ,1,6
2018,2,1000,ELE-PLS13 ,0,4
2019,2,1000,ELE-PLS13 ,1,6
2020,1,1000,ELE-PLS13 ,1,6
2021,1,1000,ELE-PLS13 ,0,7
2021,2,1000,ELE-PLS13 ,0,8
2022,1,1000,ELE-PLS13 ,0,7
2022,2,1000,IND-PLS13 ,1,4
2020,1,1002,CIV-PLS13 ,0,4
2017,2,1007,ELE-PLS13 ,0,5
2021,2,1009,MEC-PLS13 ,1,8
2022,2,1009,MEC-PLS13 ,1,4
2016,2,1010,IND-PLS13 ,0,5
